dataSize, nanoTime
100, 165528900
150, 14966000
200, 16004800
250, 20039700
300, 24544500
350, 52755200
400, 38476800
450, 56704800
500, 51962500
550, 69982200
600, 88937400
650, 47089700
700, 51933500
750, 107375200
800, 65892400
850, 85342100
900, 72050700
950, 75168100
1000, 248619300
1050, 116365200
1100, 112583000
1150, 97543900
1200, 99239200
1250, 129416400
1300, 125413700
1350, 123040600
1400, 108666500
1450, 146285000
1500, 114848600
1550, 103910800
1600, 118932500
1650, 140633800
1700, 196627900
1750, 124986300
1800, 131397400
1850, 133235900
1900, 166514200
1950, 171039000
2000, 191807800
2050, 179441000
2100, 173687300
2150, 177263100
2200, 144951000
2250, 198714700
2300, 193616200
2350, 199651500
2400, 183821200
2450, 180405300
2500, 205078800